player_id,name,position,current_team,jersey_number
4758,Brett Veach,,,0.0
8361,Damarion Williams,DB,TB,28.0
3054,Tyreek Burwell,T,,65.0
2320,Melvin Gordon,RB,,33.0
11037,Cory Trice,CB,PIT,27.0
1100,Jared Crick,DE,,93.0
1895,AJ McCarron,QB,,4.0
11906,Ty James,WR,,
5040,Tarvarius Moore,DB,,30.0
12493,Oronde Gadsden,TE,LAC,86.0
2496,Malcolm Johnson,FB,,0.0
3876,Michael Wakefield,OLB,,45.0
7144,Clay Johnston,LB,,44.0
3728,Brian Price,DT,,0.0
6581,Derick Roberson,LB,,42.0
4712,Johnny Ragin,ILB,,0.0
1660,Brynden Trawick,FS,,31.0
287,Brad Smith,WR,,16.0
7258,Luke Sellers,FB,,47.0
3040,David Irving,DE,,95.0
12028,TaMerik Williams,RB,,
521,Jeff Cumberland,TE,,87.0
7399,Bejour Wilson,CB,,22.0
1279,Orie Lemon,LB,,45.0
4379,Geoff Gray,G,,79.0
1991,Rashaad Reynolds,CB,,43.0
11512,Tyrus Wheat,DE,DET,99.0
12699,LaJohntay Wester,WR,BAL,83.0
3488,D.J. Foster,RB,,37.0
11044,Nick Broeker,OL,KC,67.0
630,Phillip Adams,CB,,20.0
5557,Emmanuel Beal,ILB,,43.0
4909,Duce Staley,RB,,22.0
1412,Shamarko Thomas,SS,,38.0
3697,Kyle Rose,NT,,63.0
4281,Josh Carraway,OLB,,42.0
12244,DeAngelo Hardy,WR,,
13233,Joey Lombard,OL,,
7497,Kamaal Seymour,OT,,63.0
489,Jamon Meredith,T,,79.0
1387,Rex Burkhead,RB,,28.0
3759,Gabe Hughes,TE,,89.0
8030,Emmanuel Rugamba,CB,,0.0
5832,Mercy Maston,CB,,0.0
11122,Andrew Farmer,LB,SF,50.0
6559,Tanner Volson,C,,63.0
7386,Malcolm Elmore,DB,,28.0
7553,Kyle Pitts,TE,ATL,8.0
5143,Demario Richard,RB,,0.0
5308,Duplicate Player,DE,LAR,94.0
12640,Teddye Buchanan,LB,BAL,40.0
1172,Don Barclay,G,,67.0
5617,Austin Barnard,P,,3.0
5664,Trent Harris,LB,,57.0
2874,Leon Mackey,DE,,78.0
4065,Derek Barnett,DE,HOU,95.0
7501,Evan Foster,S,,
8410,Jequez Ezzard,WR,,0.0
12694,RJ Mickens,DB,LAC,27.0
5845,Dwayne Haskins,QB,PIT,3.0
2025,Albert Wilson,WR,,12.0
5838,Phillip Andersen,K,,0.0
12300,Joshua Lingenfelter,TE,,
767,Chris Baker,DT,,92.0
8645,Benjie Franklin,CB,,34.0
1523,Josh Boyd,DT,,60.0
11134,Kaleb Hayes,CB,,38.0
11304,E.J. Jenkins,TE,PHI,84.0
8502,Cade Mays,OL,CAR,64.0
10940,Nick Herbig,LB,PIT,51.0
5534,Elijah Campbell,DB,MIA,22.0
4746,Ryan Reid,CB,,35.0
7970,Ar'Darius Washington,DB,BAL,29.0
19,Joe Flacco,QB,CIN,16.0
12329,Cade Beresford,OL,,
5296,Elijah Wellman,FB,,0.0
7782,Isaiah McDuffie,LB,GB,58.0
2782,Dominique Davis,DE,,0.0
12301,Treylen Brown,C,,
11279,Chim Okorafor,OT,,64.0
4216,Desmond King,DB,,35.0
2160,Zac Kerin,G,,69.0
4363,Demetrious Cox,SS,,37.0
3837,Kenneth Durden,CB,,38.0
10941,Tyler Lacy,DE,DET,78.0
11756,Hunter Nourzad,OL,KC,60.0
3466,Andrew Williamson,SS,,0.0
1009,Bryan Walters,WR,,81.0
10970,Henry To'oTo'o,LB,HOU,39.0
8609,Hauati Pututau,DT,,0.0
2678,Ray Drew,DE,,65.0
12967,Jacolby George,WR,,
3865,Chris Edwards,DB,,38.0
4553,Dieugot Joseph,OT,,67.0
3053,Shane McDermott,G,,64.0
1524,Kevin Dorsey,WR,,6.0
1250,Will Johnson,TE,,46.0
11129,Nic Melsop,T,,
7246,Drake Dorbeck,T,,0.0
2519,Neal Sterling,TE,,85.0
6624,Joshua Simmons,CB,,48.0
13228,Ife Adeyi,WR,,
2721,Chris Harper,WR,,3.0
6459,Sean Modster,WR,,14.0
12264,Cole Beck,WR,,
2735,Thurston Armbrister,LB,,0.0
801,Charles Clay,TE,,85.0
4911,Quinton Schooley,C,,0.0
4275,Justin Senior,OT,,0.0
306,DeAngelo Williams,RB,,34.0
3484,Nelson Spruce,WR,,5.0
2676,Zach Vigil,LB,,56.0
6374,Drew Belcher,TE,,82.0
4054,Mo Alie-Cox,TE,IND,81.0
1450,Ace Sanders,WR,,18.0
1966,Ryan Lankford,WR,,85.0
7944,Michael Strachan,WR,,84.0
11319,Truman Jones,DE,TEN,56.0
219,Mario Williams,DE,,94.0
2919,Tyler McDonald,WR,,15.0
7740,Kobe Jones,LB,,54.0
